id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input width,107,73,42,105,444,ship,baseline,monotonic-signal,raise-signal
m002,g002,search depth,71,0,5,71,269,ship,edge,drag-penalty,drop-slack
m003,g003,boundary pressure,61,51,16,54,284,ship,recovery,confidence-floor,raise-drag
m004,g004,complexity,103,39,12,42,332,ship,negative,lane-boundary,lower-confidence
m005,g005,input width,49,71,36,103,338,ship,baseline,monotonic-signal,raise-signal
m006,g006,search depth,56,43,29,45,201,watch,edge,drag-penalty,drop-slack
m007,g007,boundary pressure,67,48,34,64,256,ship,recovery,confidence-floor,raise-drag
m008,g008,complexity,76,13,27,65,227,ship,negative,lane-boundary,lower-confidence
m009,g009,input width,93,33,8,89,406,ship,baseline,monotonic-signal,raise-signal
m010,g010,search depth,48,0,42,56,82,hold,edge,drag-penalty,drop-slack
m011,g011,boundary pressure,77,36,46,44,176,watch,recovery,confidence-floor,raise-drag
m012,g012,complexity,95,17,18,73,316,ship,negative,lane-boundary,lower-confidence
m013,g013,input width,73,45,38,25,172,watch,baseline,monotonic-signal,raise-signal
m014,g014,search depth,52,50,21,85,311,ship,edge,drag-penalty,drop-slack
m015,g015,boundary pressure,49,72,42,34,184,watch,recovery,confidence-floor,raise-drag
m016,g016,complexity,51,10,43,43,79,hold,negative,lane-boundary,lower-confidence
m017,g017,input width,65,51,28,71,290,ship,baseline,monotonic-signal,raise-signal
m018,g018,search depth,62,63,22,83,350,ship,edge,drag-penalty,drop-slack
m019,g019,boundary pressure,112,53,48,94,374,ship,recovery,confidence-floor,raise-drag
m020,g020,complexity,97,10,10,91,366,ship,negative,lane-boundary,lower-confidence
m021,g021,input width,58,61,38,70,264,ship,baseline,monotonic-signal,raise-signal
m022,g022,search depth,72,8,12,53,230,ship,edge,drag-penalty,drop-slack
m023,g023,boundary pressure,87,71,28,54,340,ship,recovery,confidence-floor,raise-drag
m024,g024,complexity,54,64,27,89,333,ship,negative,lane-boundary,lower-confidence
m025,g025,input width,50,42,32,44,176,watch,baseline,monotonic-signal,raise-signal
m026,g026,search depth,82,44,36,63,270,ship,edge,drag-penalty,drop-slack
m027,g027,boundary pressure,106,29,46,77,286,ship,recovery,confidence-floor,raise-drag
m028,g028,complexity,78,53,21,75,349,ship,negative,lane-boundary,lower-confidence
m029,g029,input width,76,68,14,55,356,ship,baseline,monotonic-signal,raise-signal
m030,g030,search depth,65,0,12,43,180,watch,edge,drag-penalty,drop-slack
m031,g031,boundary pressure,68,15,19,85,279,ship,recovery,confidence-floor,raise-drag
m032,g032,complexity,51,56,35,11,131,watch,negative,lane-boundary,lower-confidence
